"Ticker","Book Value per Share","PE ratio","PB ratio","Enterprise Value over EBITDA","returnOnEquity","assetTurnover","Dividend Yield","interestCoverage","Free Cash Flow Yield","EPS Diluted Growth","debtEquityRatio","currentRatio","Market Cap","EBITDA Margin","Profit Margin","operatingCashFlowSalesRatio","Revenue Growth","Price Variation","Class"
"AMAT",6.519,18.641,4.3638,12.0486,0.2385,0.742964997,0.0138,13.9871,0.0736,0.375,0.433,2.3,31432393332,0.236,0.159,0.23704388,0.1207,61.96702302,"1"
"AMAT",6.757,9.5168,4.4282,5.9182,0.484,0.978449498,0.0193,21.0598,0.1035,0.0189,0.7756,2.704,30590665014,0.312,0.192,0.219498058,0.1868,85.65883117,"1"
"AMBA",7.975,33.3,7.2953,28.2615,0.2132,0.76781669,0,0,0.0297,0.8471,0,6.055,1716346985,0.245,0.232,0.239410293,0.3849,-0.018467532,"0"
"AMBA",5.649,34.4409,5.823,26.2238,0.1641,0.859803499,0,0,0.0361,0.4167,0,6.977,903650955.3,0.184,0.163,0.21794579,0.3018,9.25127632,"1"
"AMBA",14.513,88.4211,3.4795,40.7898,0.0391,0.540386976,0,0,0.0487,-0.6726,0,9.266,1678648003,0.103,0.064,0.28911111,-0.048,68.08216327,"1"
"AMBA",13.915,28.0282,3.6041,19.8074,0.1272,0.605728218,0,0,0.0673,-0.2599,0,8.613,1642691976,0.201,0.186,0.365185612,-0.0192,-43.87935422,"0"
"AMBA",11.047,15.7851,3.5096,10.5556,0.2189,0.770485735,0,0,0.0992,0.4459,0,7.572,1224286087,0.274,0.242,0.39055482,0.4494,11.8195641,"1"
"AMD",-0.526,0,0,0,1.6019,1.294098573,0,-3.0375,-0.1325,-0.5849,-5.4296,1.654,2370568314,-0.08,-0.165,-0.056627412,-0.2752,-309.3862899,"0"
"AMD",0.243,0,11.0525,0,-2.1551,1.461640563,0,-1.2486,-0.0936,-3.8182,11.8289,1.9,2062405488,-0.003,-0.073,-0.017798765,0.0391,-7.490629346,"0"
"AMD",0.626,0,17.8149,42.3666,-0.0554,1.478885135,0,0.881,-0.0095,0.95,2.3406,1.741,10593488661,0.049,-0.006,0.002284409,0.2163,68.12386024,"1"
"AMD",1.289,54.2941,14.5814,29.9565,0.2662,1.421202809,0,3.7107,-0.007,11.6667,0.9874,1.784,18449057207,0.096,0.052,0.005250965,0.2326,143.5475348,"1"
"AMD",0.498,0,25.745,0,-1.1971,1.300511894,0,-1.9423,4e-04,0.2857,3.4495,1.88,10594109424,-0.039,-0.115,0.018754341,0.0822,-10.06124708,"0"
"AME",17.494,24.5777,4.1683,17.0149,0.1692,0.551582183,0.0049,9.1275,0.0455,0.3425,0.5398,1.699,16813776664,0.251,0.158,0.193773502,0.1198,-6.254751223,"0"
"AME",13.566,21.7846,3.906,13.6547,0.1815,0.596700673,0.0067,9.7846,0.0474,0.0338,0.5955,1.581,12748127569,0.264,0.149,0.169222466,-0.0119,-6.995597344,"0"
"AME",13.229,22.0209,3.9638,13.9541,0.1804,0.626380186,0.0063,11.0695,0.0506,0.1286,0.5291,1.686,12943441632,0.254,0.145,0.180499378,0.119,2.523118495,"1"
"AME",18.377,20.089,3.6645,14.1742,0.1834,0.559421714,0.0083,13.0193,0.0538,0.1361,0.6206,1.459,15714251304,0.262,0.161,0.190991013,0.1269,48.72999323,"1"
"AME",14.001,22.3727,3.4795,13.4578,0.1573,0.540805985,0.0073,8.3497,0.061,-0.1061,0.719,2.086,11391081859,0.252,0.133,0.197087983,-0.0338,48.08934161,"1"
"AMKR",4.838,12.6786,1.5052,3.7398,0.1162,0.860822934,0,2.4881,-0.0378,0.1,1.3714,1.71,1684674808,0.236,0.041,0.196414055,0.0585,-14.60674127,"0"
"AMKR",5.068,27.6364,1.2003,3.7939,0.0426,0.71641738,0,1.9161,0.0374,-0.6,1.3222,1.294,1443168603,0.229,0.018,0.202792204,-0.0782,74.66887843,"1"
"AMKR",5.828,14.3919,1.8335,3.9829,0.1269,0.959864724,0,3.677,0.0494,2.3636,1.0659,1.402,2531451537,0.221,0.045,0.185700112,0.3617,-5.633797646,"0"
"AMKR",7.649,12.3774,0.8579,2.6558,0.0694,0.960186162,0,3.3224,0.0758,-0.5182,0.7278,1.443,1571336211,0.193,0.029,0.153692859,0.026,94.9025465,"1"
"AMKR",7.099,9.3818,1.4548,3.328,0.1554,0.933156374,0,4.5456,0.0846,0.4865,0.8044,1.247,2469365513,0.231,0.063,0.14696041,0.0711,-36.4341072,"0"
"AMOT",10.989,25.9826,4.0852,15.3711,0.1564,1.088713324,0.0026,8.6568,0.0074,0.954,1.2033,2.487,423499511.6,0.113,0.051,0.056186033,0.2325,9.070285739,"1"
"AMOT",8.022,22.1287,2.4948,9.1509,0.1256,1.366687231,0.0045,2.9853,0.0435,-0.1667,0.988,3.054,209448800.9,0.118,0.037,0.058167577,0.0579,48.61812976,"1"
"AMOT",9.543,39.625,3.6732,12.7126,0.092,1.341045753,0.0029,7.5222,0.0583,-0.13,0.6085,2.774,329625029,0.115,0.032,0.100816628,0.0249,28.4892153,"1"
"AMOT",7,21.8167,3.7266,10.0104,0.1714,1.43347703,0.0038,3.5604,0.0631,-0.2053,1.0431,2.175,243301107.3,0.124,0.048,0.086359999,-0.0691,-13.92993357,"0"
"AMOT",6.118,15.5855,3.8746,8.6707,0.2477,1.494376979,0.0042,3.894,0.0739,2.3556,1.3377,1.969,218543803.5,0.129,0.056,0.080846837,0.9895,14.07271331,"1"
